,a_rouge_1s,b_rouge_1s,a_rouge_2s,b_rouge_2s,a_rouge_ls,b_rouge_ls,a_bleus,b_bleus,a_bert_scores,b_bert_scores
71,0.5714285969734192,0.8148148059844971,0.5,0.47999998927116394,0.5714285969734192,0.6666666865348816,0.0,0.0,0.8215687870979309,0.8667442798614502
72,0.5,0.2666666805744171,0.20000000298023224,0.1428571492433548,0.5,0.2666666805744171,0.0,0.0,0.7200332283973694,0.6065751314163208
73,0.5,0.23529411852359772,0.2222222238779068,0.07692307978868484,0.5,0.23529411852359772,0.0,0.0,0.7394691705703735,0.6585893630981445
74,0.2222222238779068,0.7586206793785095,0.125,0.37037035822868347,0.2222222238779068,0.3199999928474426,0.0,0.0,0.7037776708602905,0.7594200372695923
75,0.27586206793785095,0.34285715222358704,0.14814814925193787,0.12121212482452393,0.27586206793785095,0.2857142984867096,0.0,0.0,0.6556324362754822,0.6415109634399414
76,0.5714285969734192,0.37037035822868347,0.5263158082962036,0.3199999928474426,0.5714285969734192,0.37037035822868347,0.17705496504211482,0.23447977464683542,0.7890035510063171,0.7467836141586304
77,0.47058823704719543,0.4166666567325592,0.13333334028720856,0.1818181872367859,0.47058823704719543,0.38461539149284363,0.0,0.0,0.7113839983940125,0.7043025493621826
78,0.27272728085517883,0.375,0.0,0.13333334028720856,0.1818181872367859,0.3125,0.0,0.0,0.6665025353431702,0.677344024181366
79,0.23529411852359772,0.3333333432674408,0.0,0.0,0.23529411852359772,0.1818181872367859,0.0,0.0,0.6191033124923706,0.635969340801239
80,0.4516128897666931,0.3888888955116272,0.27586206793785095,0.29629629850387573,0.4516128897666931,0.3448275923728943,0.0,0.2731212370753469,0.6912237405776978,0.6455406546592712
81,0.3636363744735718,0.2666666805744171,0.1818181872367859,0.0714285746216774,0.3333333432674408,0.2666666805744171,0.0,0.0,0.663003146648407,0.7045716643333435
82,0.125,0.14814814925193787,0.0,0.10256410390138626,0.125,0.1463414579629898,0.0,0.0,0.5776869654655457,0.633226215839386
83,0.0416666679084301,0.4000000059604645,0.0,0.19354838132858276,0.0416666679084301,0.4000000059604645,0.0,0.0,0.5829589366912842,0.7038270831108093
84,0.17391304671764374,0.2068965584039688,0.0,0.07407407462596893,0.17391304671764374,0.2068965584039688,0.0,0.0,0.6190044283866882,0.6466437578201294
