,a_rouge_1s,b_rouge_1s,a_rouge_2s,b_rouge_2s,a_rouge_ls,b_rouge_ls,a_bleus,b_bleus,a_bert_scores,b_bert_scores
129,0.31578946113586426,0.6666666865348816,0.2222222238779068,0.47999998927116394,0.31578946113586426,0.5185185074806213,0.18418040004786818,0.2672825520622499,0.6763009428977966,0.7839745283126831
130,0.8799999952316284,0.7058823704719543,0.782608687877655,0.37037035822868347,0.8799999952316284,0.529411792755127,0.6636859108766658,0.0,0.9247488379478455,0.7426377534866333
131,0.3243243098258972,0.52173912525177,0.1428571492433548,0.2142857164144516,0.22727273404598236,0.3478260934352875,0.13417679370846164,0.2852636439147137,0.6976482272148132,0.7358130812644958
132,0.19354838132858276,0.1599999964237213,0.0,0.0,0.12903225421905518,0.10000000149011612,0.0,0.0,0.6265590786933899,0.6257876753807068
133,0.4375,0.2222222238779068,0.20000000298023224,0.07999999821186066,0.3076923191547394,0.2222222238779068,0.0,0.0,0.7294244170188904,0.6964783072471619
134,0.9677419066429138,1.0,0.9655172228813171,1.0,0.9677419066429138,1.0,0.8764445248055556,0.9174014451319407,0.9551678895950317,0.979205310344696
135,0.4444444477558136,0.3888888955116272,0.23529411852359772,0.23529411852359772,0.2777777910232544,0.23076923191547394,0.0,0.0,0.6990030407905579,0.6477636098861694
136,0.6842105388641357,0.7027027010917664,0.6666666865348816,0.6857143044471741,0.6842105388641357,0.7027027010917664,0.747357556981764,0.9601845894041878,0.8241511583328247,0.8555295467376709
137,0.3529411852359772,0.2857142984867096,0.07999999821186066,0.10526315867900848,0.29411765933036804,0.2068965584039688,0.0,0.0,0.687673032283783,0.664424479007721
138,0.6153846383094788,0.6875,0.5405405163764954,0.5333333611488342,0.6153846383094788,0.4375,0.4758093352753999,0.44883577006437847,0.8408913016319275,0.7990176677703857
139,0.1538461595773697,0.4444444477558136,0.0,0.29411765933036804,0.10256410390138626,0.3333333432674408,0.0,0.0,0.6339098811149597,0.7655099630355835
140,0.4545454680919647,0.095238097012043,0.10000000149011612,0.0,0.4545454680919647,0.095238097012043,0.0,0.0,0.6526383757591248,0.6168807148933411
141,0.3870967626571655,0.2857142984867096,0.13793103396892548,0.13793103396892548,0.25806450843811035,0.25806450843811035,0.0,0.17741454314600238,0.7028335332870483,0.6885553002357483
